loci	Harmonic_N	H_st_est	D_st_est	G_st_est	G_hed_st_est	D_Jost_est	Fst_WC	Fit_WC	
Locus274	11.1314	-0.0382	-0.0171	-0.032	-0.077	-0.0436	-0.0042	-0.721	
Locus275	11.1314	-0.0391	-0.0164	-0.0291	-0.0751	-0.0447	-4e-04	-0.6914	
Locus276	11.1314	-0.01	-0.0038	-0.0062	-0.0177	-0.0115	0.0207	-0.5888	
Locus277	11.1314	-0.0161	-0.0058	-0.0092	-0.0277	-0.0184	0.018	-0.5472	
Locus278	11.1314	-0.0241	-0.0105	-0.0189	-0.047	-0.0276	0.0176	-0.7985	
Locus279	11.1314	-0.0122	-0.0043	-0.0067	-0.0207	-0.014	0.0178	-0.556	
Locus280	11.1314	0.0016	7e-04	0.0013	0.0031	0.0018	0.0346	-0.707	
Locus281	11.1314	-0.0378	-0.0138	-0.0222	-0.0664	-0.0432	0.0033	-0.6148	
Locus282	11.1314	-0.0358	-0.0151	-0.0268	-0.0688	-0.0409	0.0053	-0.7552	
Locus283	11.1314	-0.0448	-0.0162	-0.026	-0.0786	-0.0512	-0.0069	-0.4863	
Locus284	11.1314	-0.0395	-0.0163	-0.0286	-0.075	-0.0451	-0.0033	-0.6263	
Locus285	11.1314	0.0204	0.0074	0.0115	0.0346	0.0234	0.0391	-0.4605	
Locus286	11.1314	-0.042	-0.0176	-0.0313	-0.0807	-0.0479	-6e-04	-0.7565	
Locus287	11.1314	0.0041	0.0014	0.0021	0.0068	0.0047	0.0286	-0.5117	
Locus288	11.1314	-0.0125	-0.0045	-0.0071	-0.0215	-0.0143	0.0138	-0.4808	
Locus289	11.1314	-0.049	-0.0203	-0.0359	-0.0939	-0.056	-0.0046	-0.7764	
Locus290	11.1314	-0.0316	-0.0134	-0.0238	-0.0608	-0.0361	0.0092	-0.7564	
Locus291	11.1314	-0.0369	-0.0154	-0.0271	-0.0705	-0.0422	2e-04	-0.6922	
Locus292	11.1314	-0.0387	-0.0153	-0.026	-0.0713	-0.0442	0.0046	-0.7075	
Locus293	11.1314	0.0055	0.0019	0.0029	0.0092	0.0063	0.0288	-0.5051	
Locus294	11.1314	0.0301	0.0104	0.0156	0.0495	0.0344	0.0416	-0.4816	
Locus295	11.1314	-0.0386	-0.0132	-0.0205	-0.0655	-0.0442	-0.0029	-0.4647	
Locus296	11.1314	-0.0462	-0.0195	-0.0349	-0.0895	-0.0527	-0.0026	-0.8028	
Locus297	11.1314	-0.0297	-0.0133	-0.0247	-0.0595	-0.0339	0.0075	-0.7365	
Locus298	11.1314	0.018	0.0066	0.0103	0.0307	0.0206	0.0415	-0.5586	
Locus299	11.1314	-0.0122	-0.0049	-0.0083	-0.0223	-0.0139	0.0209	-0.6766	
Locus300	11.1314	-0.0458	-0.0154	-0.0238	-0.0773	-0.0523	-6e-04	-0.549	
Locus301	11.1314	-0.0217	-0.0096	-0.0175	-0.0428	-0.0248	0.0107	-0.681	
Locus302	11.1314	0.0076	0.0032	0.0055	0.0141	0.0087	0.0357	-0.6356	
Locus303	11.1314	-0.0514	-0.0167	-0.0254	-0.0856	-0.0587	-0.0051	-0.5263	
Locus304	11.1314	0.0178	0.0064	0.0099	0.03	0.0204	0.0413	-0.5464	
Locus305	11.1314	-0.0068	-0.0023	-0.0035	-0.0113	-0.0078	0.0207	-0.4813	
Locus306	11.1314	-0.0409	-0.0177	-0.0322	-0.0804	-0.0467	-0.0019	-0.7441	
Locus307	11.1314	-0.0292	-0.0102	-0.0159	-0.0498	-0.0334	0.0087	-0.5473	
Locus308	11.1314	-0.0274	-0.011	-0.0187	-0.0506	-0.0314	0.0105	-0.6917	
Locus309	11.1314	-6e-04	-2e-04	-3e-04	-9e-04	-6e-04	0.0284	-0.5637	
Locus310	11.1314	-0.0417	-0.0179	-0.0324	-0.0816	-0.0476	-2e-04	-0.7782	
Locus311	11.1314	-0.0449	-0.0182	-0.0316	-0.0845	-0.0513	-0.0012	-0.747	
Locus312	11.1314	-0.0342	-0.0156	-0.0295	-0.0698	-0.0391	0.0013	-0.7336	
Locus313	11.1314	-0.0124	-0.0055	-0.01	-0.0243	-0.0142	0.0212	-0.7073	
Locus314	11.1314	-0.0176	-0.0079	-0.0146	-0.0349	-0.0201	0.016	-0.688	
Locus315	11.1314	-0.0288	-0.0123	-0.0219	-0.0556	-0.033	0.0078	-0.686	
Locus316	11.1314	-0.0418	-0.0145	-0.0227	-0.0715	-0.0477	-0.0056	-0.4333	
Locus317	11.1314	-0.0203	-0.007	-0.0108	-0.0342	-0.0232	0.0107	-0.4597	
Locus318	11.1314	-0.0325	-0.0131	-0.0225	-0.0604	-0.0371	0.0075	-0.7168	
Locus319	11.1314	-0.0286	-0.0112	-0.0187	-0.0521	-0.0327	0.0119	-0.6792	
Locus320	11.1314	-0.0316	-0.0141	-0.0261	-0.0632	-0.0361	0.0026	-0.6918	
Locus321	11.1314	-0.0219	-0.0092	-0.0161	-0.0415	-0.025	0.0163	-0.7224	
Locus322	11.1314	-0.0567	-0.0209	-0.0343	-0.1012	-0.0647	-0.0103	-0.6294	
Locus323	11.1314	-0.0382	-0.0143	-0.0234	-0.0681	-0.0436	-4e-04	-0.565	
Locus324	11.1314	0.0143	0.0051	0.0079	0.0241	0.0164	0.0341	-0.4874	
Locus325	11.1314	-0.0194	-0.0078	-0.0132	-0.0357	-0.0222	0.0179	-0.6839	
Locus326	11.1314	-0.0429	-0.0191	-0.0356	-0.0864	-0.0491	NA	-0.8796	
Locus327	11.1314	-0.0122	-0.0044	-0.0069	-0.021	-0.0139	0.0156	-0.5208	
Locus328	11.1314	-0.0365	-0.0164	-0.0307	-0.0737	-0.0418	0.0014	-0.7701	
Locus329	11.1314	-0.0337	-0.0116	-0.018	-0.0573	-0.0386	0.0055	-0.5577	
Locus330	11.1314	-0.0387	-0.017	-0.0313	-0.0769	-0.0442	-0.0034	-0.6961	
Locus331	11.1314	-0.0227	-0.008	-0.0125	-0.0387	-0.0259	0.0127	-0.5638	
Locus332	11.1314	-0.0374	-0.0161	-0.0291	-0.0731	-0.0427	-0.0023	-0.6717	
Locus333	11.1314	-0.0424	-0.0182	-0.033	-0.083	-0.0484	-0.002	-0.778	
Locus334	11.1314	-0.0221	-0.0076	-0.0117	-0.0373	-0.0253	0.0096	-0.4571	
Locus335	11.1314	-0.0311	-0.0139	-0.0258	-0.0623	-0.0356	0.005	-0.7203	
Locus336	11.1314	-0.0327	-0.012	-0.0193	-0.0574	-0.0374	0.0019	-0.5101	
Locus337	11.1314	-0.0188	-0.0082	-0.0148	-0.0365	-0.0215	0.0215	-0.7737	
Locus338	11.1314	-0.0408	-0.0162	-0.0276	-0.0756	-0.0467	0.001	-0.6972	
Locus339	11.1314	-0.0399	-0.0176	-0.0325	-0.0796	-0.0457	0.001	-0.8086	
Locus340	11.1314	-0.0343	-0.0126	-0.0203	-0.0603	-0.0392	-0.0012	-0.4697	
Locus341	11.1314	-0.0324	-0.0142	-0.0259	-0.0639	-0.037	0.0014	-0.6673	
Locus342	11.1314	-0.0225	-0.0081	-0.0128	-0.0389	-0.0258	0.0147	-0.5863	
Locus343	11.1314	-0.0133	-0.0053	-0.0089	-0.0242	-0.0152	0.0164	-0.5421	
Locus344	11.1314	-0.0539	-0.0187	-0.0295	-0.0929	-0.0616	-0.0065	-0.5822	
Locus345	11.1314	-0.0276	-0.0105	-0.0172	-0.0493	-0.0316	0.0112	-0.625	
Locus346	11.1314	-0.021	-0.008	-0.0131	-0.0374	-0.024	0.0091	-0.5075	
Locus347	11.1314	-0.047	-0.0195	-0.0345	-0.09	-0.0537	-0.0027	-0.776	
Locus348	11.1314	-0.0092	-0.0036	-0.0059	-0.0165	-0.0105	0.0248	-0.6398	
Locus349	11.1314	-0.0422	-0.0178	-0.0318	-0.0815	-0.0482	-4e-04	-0.7711	
Locus350	11.1314	-0.0359	-0.0152	-0.0271	-0.0692	-0.041	0.006	-0.7855	
Locus351	11.1314	-0.0213	-0.008	-0.013	-0.0377	-0.0244	0.0093	-0.4798	
Locus352	11.1314	0.0021	8e-04	0.0013	0.0037	0.0024	0.0261	-0.5596	
Locus353	11.1314	-0.0253	-0.011	-0.0199	-0.0493	-0.0289	0.015	-0.7639	
Locus354	11.1314	-0.0293	-0.0122	-0.0214	-0.0555	-0.0335	0.0057	-0.6224	
Locus355	11.1314	-0.0445	-0.0178	-0.0306	-0.083	-0.0509	-2e-04	-0.7239	
Locus356	11.1314	-0.0502	-0.017	-0.0264	-0.0852	-0.0573	-0.003	-0.5594	
Locus357	11.1314	-0.03	-0.0129	-0.0232	-0.0582	-0.0343	0.0065	-0.6759	
Locus358	11.1314	-0.0481	-0.0174	-0.028	-0.0846	-0.055	-0.0023	-0.6163	
Locus359	11.1314	0.0124	0.0046	0.0073	0.0213	0.0141	0.0296	-0.438	
Locus360	11.1314	-0.041	-0.0166	-0.0287	-0.0769	-0.0468	4e-04	-0.7208	
Locus361	11.1314	-0.0487	-0.0188	-0.0316	-0.089	-0.0557	-0.005	-0.691	
Locus362	11.1314	-0.022	-0.0074	-0.0113	-0.0367	-0.0251	0.0087	-0.4756	
Locus363	11.1314	-0.0316	-0.0141	-0.0261	-0.0632	-0.0361	0.0021	-0.6753	
Locus364	11.1314	-0.0234	-0.0082	-0.0128	-0.0398	-0.0267	0.007	-0.4801	
Locus365	11.1314	-0.0438	-0.0192	-0.0354	-0.0872	-0.0501	-0.0037	-0.7906	
Locus366	11.1314	-0.0078	-0.0035	-0.0064	-0.0154	-0.0089	0.0253	-0.6577	
Locus367	11.1314	-0.024	-0.0104	-0.0187	-0.0466	-0.0274	0.0111	-0.7109	
Locus368	11.1314	-0.0479	-0.0197	-0.0346	-0.0912	-0.0547	-0.0053	-0.741	
Locus369	11.1314	-0.0367	-0.0158	-0.0286	-0.0717	-0.0419	0.0031	-0.7476	
Locus370	11.1314	-0.0174	-0.006	-0.0092	-0.0293	-0.0199	0.0152	-0.5402	
Locus371	11.1314	-0.0382	-0.0151	-0.0256	-0.0704	-0.0437	0.0037	-0.6814	
Locus372	11.1314	-0.0207	-0.0086	-0.0149	-0.039	-0.0237	0.0105	-0.5653	
Locus373	11.1314	-0.0353	-0.0156	-0.0288	-0.0702	-0.0403	7e-04	-0.7246	
Locus374	11.1314	-0.0359	-0.012	-0.0183	-0.0602	-0.0411	0.0024	-0.5342	
Locus375	11.1314	-0.0318	-0.0105	-0.0159	-0.0529	-0.0364	0.0042	-0.5219	
Locus376	11.1314	-0.0237	-0.01	-0.0176	-0.0451	-0.027	0.0103	-0.6352	
Locus377	11.1314	-0.0378	-0.0149	-0.0252	-0.0695	-0.0432	0.0037	-0.6952	
Locus378	11.1314	-0.0307	-0.0106	-0.0165	-0.0521	-0.0351	0.0073	-0.5566	
Locus379	11.1314	-0.0377	-0.0161	-0.0289	-0.0732	-0.0431	0.0048	-0.8141	
Locus380	11.1314	-0.0142	-0.0052	-0.0083	-0.0246	-0.0162	0.0133	-0.4731	
Locus381	11.1314	0.0058	0.0021	0.0033	0.0099	0.0066	0.0281	-0.5749	
Locus382	11.1314	-0.0264	-0.0095	-0.0151	-0.0457	-0.0302	0.0046	-0.4471	
Locus383	11.1314	-0.0281	-0.0102	-0.0163	-0.0489	-0.0321	0.0047	-0.4856	
Locus384	11.1314	-0.0494	-0.0178	-0.0286	-0.0867	-0.0564	-0.0035	-0.6131	
Locus385	11.1314	-0.0344	-0.0141	-0.0245	-0.0648	-0.0393	0.0024	-0.6412	
Locus386	11.1314	-0.0441	-0.0185	-0.0329	-0.085	-0.0504	-0.0017	-0.7667	
Locus387	11.1314	-0.0436	-0.0189	-0.0345	-0.0861	-0.0499	-4e-04	-0.8303	
Locus388	11.1314	-0.0427	-0.0187	-0.0344	-0.0849	-0.0488	-3e-04	-0.8273	
Locus389	11.1314	-0.0127	-0.0055	-0.0098	-0.0244	-0.0145	0.0262	-0.7754	
Locus390	11.1314	-0.0122	-0.0048	-0.008	-0.0221	-0.014	0.0173	-0.4999	
Locus391	11.1314	-0.0252	-0.0109	-0.0196	-0.0489	-0.0288	0.012	-0.7164	
Locus392	11.1314	-0.037	-0.0139	-0.0228	-0.066	-0.0423	-0.0012	-0.5183	
Locus393	11.1314	-0.0401	-0.0166	-0.0291	-0.0763	-0.0459	0.0014	-0.7254	
Locus394	11.1314	-0.0178	-0.007	-0.0117	-0.0323	-0.0204	0.0149	-0.6078	
Locus395	11.1314	-0.0349	-0.0157	-0.0294	-0.0704	-0.0398	-0.001	-0.6889	
Locus396	11.1314	-0.0223	-0.0087	-0.0145	-0.0403	-0.0254	0.0108	-0.577	
Locus397	11.1314	-0.0552	-0.0214	-0.0362	-0.1016	-0.0631	-0.0099	-0.6799	
Locus398	11.1314	-0.0262	-0.0095	-0.0151	-0.0455	-0.0299	0.0052	-0.5043	
Locus399	11.1314	-0.0397	-0.0133	-0.0204	-0.0667	-0.0453	-2e-04	-0.4732	
Locus400	11.1314	-0.0182	-0.0064	-0.01	-0.031	-0.0208	0.0161	-0.5412	
Locus401	11.1314	-0.0363	-0.0127	-0.0199	-0.0622	-0.0414	0.0051	-0.5744	
Locus402	11.1314	0.0068	0.0023	0.0035	0.0112	0.0077	0.031	-0.5113	
Locus403	11.1314	-0.0395	-0.0165	-0.0292	-0.0756	-0.0452	NA	-0.723	
Locus404	11.1314	-0.0294	-0.0101	-0.0156	-0.0498	-0.0336	0.0085	-0.5494	
Locus405	11.1314	-0.0115	-0.0042	-0.0067	-0.0199	-0.0131	0.0138	-0.4693	
Locus406	11.1314	0.0437	0.0185	0.0311	0.0795	0.05	0.0653	-0.5899	
Locus407	11.1314	-0.0335	-0.0111	-0.0169	-0.0558	-0.0383	0.0039	-0.511	
Locus408	11.1314	-0.0402	-0.0149	-0.0243	-0.0713	-0.0459	-0.0018	-0.5461	
Locus409	11.1314	-0.0187	-0.0068	-0.0108	-0.0324	-0.0214	0.0087	-0.4527	
Locus410	11.1314	-0.0205	-0.0087	-0.0153	-0.0391	-0.0234	0.0149	-0.6605	
Locus411	11.1314	-0.0413	-0.0179	-0.0326	-0.0813	-0.0472	-0.003	-0.7443	
Locus412	11.1314	-0.0261	-0.0109	-0.0191	-0.0495	-0.0299	0.0139	-0.7316	
Locus413	11.1314	-0.0408	-0.0169	-0.0297	-0.0777	-0.0466	0.0025	-0.7625	
Locus414	11.1314	-0.0234	-0.0079	-0.0121	-0.0391	-0.0267	0.0113	-0.5329	
Locus415	11.1314	0.0011	4e-04	6e-04	0.0019	0.0012	0.0229	-0.5646	
Locus416	11.1314	-0.0329	-0.0108	-0.0163	-0.0545	-0.0376	0.0064	-0.4985	
Locus417	11.1314	-0.0315	-0.0141	-0.0262	-0.0632	-0.036	0.005	-0.7203	
Locus418	11.1314	-0.0268	-0.0113	-0.0199	-0.0512	-0.0307	0.014	-0.758	
Locus419	11.1314	-0.0328	-0.0132	-0.0226	-0.0609	-0.0375	0.0081	-0.7116	
Locus420	11.1314	-0.0262	-0.0105	-0.0178	-0.0483	-0.03	0.0064	-0.5531	
Locus421	11.1314	-0.0321	-0.0123	-0.0203	-0.0578	-0.0367	0.0083	-0.6606	
Locus422	11.1314	-0.0077	-0.0029	-0.0047	-0.0135	-0.0088	0.0245	-0.606	
Locus423	11.1314	-0.0192	-0.0079	-0.0136	-0.0358	-0.0219	0.0108	-0.5561	
Locus424	11.1314	0.0231	0.0092	0.015	0.0411	0.0264	0.0439	-0.5867	
Locus425	11.1314	-0.0106	-0.004	-0.0065	-0.0187	-0.0122	0.0169	-0.4686	
Locus426	11.1314	-0.0481	-0.0188	-0.0318	-0.0886	-0.055	-0.0035	-0.6997	
Locus427	11.1314	-0.0395	-0.0161	-0.0279	-0.0744	-0.0452	0.0035	-0.7364	
Locus428	11.1314	0.0082	0.0034	0.0058	0.0151	0.0094	0.0403	-0.6849	
Locus429	11.1314	-0.0226	-0.0076	-0.0116	-0.0378	-0.0259	0.0105	-0.5257	
Locus430	11.1314	-0.0144	-0.005	-0.0077	-0.0243	-0.0165	0.0138	-0.4589	
Locus431	11.1314	-8e-04	-3e-04	-5e-04	-0.0014	-0.001	0.0255	-0.5597	
Locus432	11.1314	-0.0266	-0.0108	-0.0185	-0.0495	-0.0304	0.0145	-0.7154	
Locus433	11.1314	-0.0455	-0.0165	-0.0266	-0.08	-0.052	-0.0025	-0.6149	
Locus434	11.1314	-0.0391	-0.0143	-0.0231	-0.0688	-0.0447	0.0022	-0.599	
Locus435	11.1314	-0.0293	-0.0115	-0.0193	-0.0535	-0.0335	0.0105	-0.6584	
Locus436	11.1314	-0.053	-0.0196	-0.0321	-0.0946	-0.0605	-0.0064	-0.6455	
Locus437	11.1314	-0.0422	-0.0148	-0.0233	-0.0726	-0.0482	-0.0016	-0.5293	
Locus438	11.1314	-0.0057	-0.0024	-0.0042	-0.0107	-0.0065	0.0224	-0.556	
Locus439	11.1314	-0.0439	-0.0178	-0.0309	-0.0826	-0.0502	-0.0012	-0.7374	
Locus440	11.1314	-0.0385	-0.0154	-0.0263	-0.0715	-0.044	-0.0028	-0.5806	
Locus441	11.1314	-0.0237	-0.0095	-0.0161	-0.0436	-0.027	0.0115	-0.6234	
Locus442	11.1314	-0.0417	-0.0181	-0.033	-0.0823	-0.0476	-1e-04	-0.8118	
Locus443	11.1314	-0.0061	-0.0028	-0.0052	-0.0122	-0.0069	0.0255	-0.7139	
Locus444	11.1314	-0.0102	-0.0042	-0.0072	-0.0189	-0.0116	0.0227	-0.6679	
Locus445	11.1314	-0.0017	-6e-04	-9e-04	-0.0029	-0.0019	0.0256	-0.5473	
Locus446	11.1314	-0.0178	-0.0058	-0.0087	-0.0292	-0.0204	0.0142	-0.4963	
Locus447	11.1314	-0.0465	-0.0199	-0.0361	-0.0911	-0.0531	-0.0055	-0.7643	
Locus448	11.1314	-0.0532	-0.0196	-0.032	-0.0948	-0.0609	-0.0072	-0.6228	
Locus449	11.1314	-0.0178	-0.0062	-0.0096	-0.0302	-0.0204	0.0147	-0.5458	
Locus450	11.1314	-0.0457	-0.0197	-0.0358	-0.09	-0.0523	-0.0032	-0.8137	
Locus451	11.1314	-0.0441	-0.0194	-0.0359	-0.0881	-0.0504	-5e-04	-0.8627	
Locus452	11.1314	-0.0512	-0.0165	-0.025	-0.0849	-0.0585	-0.0042	-0.5162	
Locus453	11.1314	-0.0107	-0.0047	-0.0084	-0.0208	-0.0122	0.0277	-0.7613	
Locus454	11.1314	-0.0177	-0.006	-0.0092	-0.0296	-0.0202	0.0169	-0.5299	
Locus455	11.1314	-0.0434	-0.0177	-0.0308	-0.082	-0.0497	-0.003	-0.6848	
Locus456	11.1314	0.0134	0.0052	0.0084	0.0236	0.0153	0.0393	-0.6218	
Locus457	11.1314	0.0662	0.0283	0.0471	0.1192	0.0756	0.0842	-0.6651	
Locus458	11.1314	-0.0064	-0.0023	-0.0036	-0.011	-0.0073	0.0208	-0.475	
Locus459	11.1314	-0.0361	-0.0143	-0.0243	-0.0665	-0.0412	0.002	-0.6207	
Locus460	11.1314	-0.0312	-0.0105	-0.0161	-0.0523	-0.0357	0.0071	-0.5363	
Locus461	11.1314	-0.0182	-0.0069	-0.0112	-0.0323	-0.0208	0.0115	-0.5025	
Locus462	11.1314	-0.012	-0.005	-0.0087	-0.0225	-0.0137	0.02	-0.6129	
Locus463	11.1314	-0.0454	-0.0182	-0.0314	-0.0848	-0.0518	-0.0013	-0.729	
Locus464	11.1314	-0.0453	-0.0187	-0.0329	-0.0863	-0.0517	-0.0019	-0.7759	
Locus465	11.1314	-0.0422	-0.0182	-0.0331	-0.0829	-0.0482	0.0014	-0.8312	
Locus466	11.1314	-0.0422	-0.0176	-0.0311	-0.0808	-0.0482	3e-04	-0.7754	
Locus467	11.1314	-0.0379	-0.0157	-0.0275	-0.0721	-0.0433	0.0041	-0.74	
Locus468	11.1314	-0.0191	-0.0067	-0.0104	-0.0325	-0.0218	0.0087	-0.4723	
Locus469	11.1314	-0.0222	-0.0082	-0.0132	-0.0389	-0.0254	0.016	-0.6066	
Locus470	11.1314	-0.0646	-0.0226	-0.036	-0.1125	-0.0738	-0.0132	-0.6009	
Locus471	11.1314	-0.0461	-0.0198	-0.0359	-0.0906	-0.0527	-0.005	-0.7816	
Locus472	11.1314	-0.0122	-0.005	-0.0085	-0.0226	-0.014	0.022	-0.7195	
Locus473	11.1314	-0.0381	-0.0167	-0.0307	-0.0755	-0.0435	6e-04	-0.7572	
Locus474	11.1314	-0.0148	-0.006	-0.0102	-0.0273	-0.0169	0.0176	-0.6737	
Locus475	11.1314	-0.0402	-0.0165	-0.0288	-0.076	-0.0459	0.0029	-0.7504	
Locus476	11.1314	0.0107	0.0043	0.0071	0.0193	0.0122	0.0335	-0.4873	
Locus477	11.1314	-0.0283	-0.0125	-0.0229	-0.056	-0.0324	0.0075	-0.7085	
Locus478	11.1314	0.0277	0.0102	0.0159	0.0471	0.0317	0.0432	-0.487	
Locus479	11.1314	-0.0199	-0.0076	-0.0125	-0.0355	-0.0227	0.0146	-0.5887	
Locus480	11.1314	-0.0303	-0.0135	-0.0249	-0.0605	-0.0346	0.0072	-0.7533	
Locus481	11.1314	-0.0355	-0.0116	-0.0175	-0.0588	-0.0406	0.0031	-0.4811	
Locus482	11.1314	-0.023	-0.0104	-0.0194	-0.0461	-0.0263	0.0105	-0.7027	
Locus483	11.1314	-0.0409	-0.0152	-0.0248	-0.0727	-0.0468	-8e-04	-0.622	
Locus484	11.1314	0.0061	0.0021	0.0032	0.0102	0.007	0.028	-0.4987	
Locus485	11.1314	-0.0109	-0.0037	-0.0056	-0.0182	-0.0125	0.0183	-0.5264	
Locus486	11.1314	-0.0343	-0.014	-0.0242	-0.0644	-0.0392	0.0017	-0.635	
Locus487	11.1314	-0.0433	-0.0145	-0.0223	-0.0728	-0.0494	-0.0045	-0.4735	
Locus488	11.1314	-0.047	-0.0167	-0.0266	-0.0818	-0.0537	-0.002	-0.6013	
Locus489	11.1314	0.024	0.0086	0.0132	0.0403	0.0275	0.0388	-0.5009	
Locus490	11.1314	-0.0535	-0.0197	-0.0322	-0.0953	-0.0611	-0.0095	-0.6032	
Locus491	11.1314	-0.0344	-0.0136	-0.023	-0.0632	-0.0393	5e-04	-0.5616	
Locus492	11.1314	-0.0282	-0.0121	-0.0217	-0.0546	-0.0322	0.0134	-0.7879	
Locus493	11.1314	-0.026	-0.0101	-0.0168	-0.047	-0.0297	0.012	-0.6532	
Locus494	11.1314	-0.0454	-0.0151	-0.0232	-0.0762	-0.0519	-0.0027	-0.5049	
Locus495	11.1314	-0.0263	-0.0114	-0.0205	-0.0512	-0.0301	0.01	-0.6976	
Locus496	11.1314	-0.038	-0.0168	-0.031	-0.0758	-0.0434	0.0049	-0.8476	
Locus497	11.1314	-0.0343	-0.0125	-0.02	-0.0601	-0.0392	0.0056	-0.6134	
Locus498	11.1314	-0.0568	-0.0192	-0.0299	-0.0967	-0.0649	-0.009	-0.5472	
Locus499	11.1314	-0.037	-0.0165	-0.0307	-0.0743	-0.0422	-0.0014	-0.7214	
Locus500	11.1314	-0.019	-0.0081	-0.0143	-0.0363	-0.0217	0.0125	-0.6171	
Locus501	11.1314	-0.0411	-0.0157	-0.026	-0.0743	-0.047	0.0018	-0.6654	
Locus502	11.1314	-0.0044	-0.0016	-0.0025	-0.0075	-0.005	0.0175	-0.4224	
Locus503	11.1314	-0.039	-0.0171	-0.0314	-0.0774	-0.0445	-0.0038	-0.6946	
Locus504	11.1314	-0.0353	-0.0156	-0.0288	-0.0703	-0.0404	0.0012	-0.707	
Locus505	11.1314	-0.0262	-0.0113	-0.0203	-0.0508	-0.03	0.0077	-0.6398	
Locus506	11.1314	-0.0027	-0.001	-0.0016	-0.0046	-0.003	0.027	-0.5638	
Locus507	11.1314	-0.0226	-0.0099	-0.018	-0.0442	-0.0258	0.011	-0.679	
Locus508	11.1314	-0.0283	-0.0096	-0.0148	-0.0475	-0.0323	0.0092	-0.5421	
Locus509	11.1314	-0.0335	-0.0116	-0.0181	-0.057	-0.0383	0.0025	-0.5315	
Locus510	11.1314	-0.0331	-0.0142	-0.0255	-0.0643	-0.0378	0.0028	-0.6849	
Locus511	11.1314	-0.0344	-0.0153	-0.0283	-0.0688	-0.0393	0.0029	-0.738	
Locus512	11.1314	-0.0389	-0.0139	-0.0221	-0.0675	-0.0444	-0.0015	-0.5111	
Locus513	11.1314	0.0143	0.0058	0.0097	0.0259	0.0164	0.0384	-0.5776	
Locus514	11.1314	-0.0122	-0.0044	-0.0069	-0.021	-0.014	0.0173	-0.5344	
Locus515	11.1314	-0.0249	-0.0084	-0.0128	-0.0416	-0.0284	0.0064	-0.4953	
Locus516	11.1314	-0.0261	-0.0123	-0.0238	-0.0544	-0.0298	0.0089	-0.746	
Locus517	11.1314	-0.0619	-0.0198	-0.03	-0.1029	-0.0708	-0.0107	-0.5208	
Locus518	11.1314	-0.0238	-0.0107	-0.0198	-0.0476	-0.0272	0.0128	-0.7354	
Locus519	11.1314	-0.0091	-0.0034	-0.0055	-0.0159	-0.0104	0.0154	-0.4464	
Locus520	11.1314	-0.0157	-0.0061	-0.0101	-0.0282	-0.018	0.0193	-0.6167	
Locus521	11.1314	-0.0531	-0.0198	-0.0326	-0.0953	-0.0607	-0.0093	-0.5991	
Locus522	11.1314	-0.0287	-0.0123	-0.022	-0.0555	-0.0328	0.0075	-0.6879	
Locus523	11.1314	-0.0415	-0.0186	-0.0349	-0.084	-0.0474	-0.0015	-0.8224	
Locus524	11.1314	-0.0353	-0.0128	-0.0205	-0.0617	-0.0403	0.0057	-0.6085	
Locus525	11.1314	-0.0417	-0.0146	-0.023	-0.0717	-0.0477	-0.0044	-0.4737	
Locus526	11.1314	-0.0478	-0.0183	-0.0305	-0.0869	-0.0547	-0.0036	-0.6742	
Locus527	11.1314	-0.0398	-0.0178	-0.0333	-0.0803	-0.0455	-0.003	-0.7537	
Locus528	11.1314	0.0223	0.0093	0.0157	0.0408	0.0255	0.0484	-0.6178	
Locus529	11.1314	-0.0341	-0.0143	-0.0252	-0.0652	-0.039	3e-04	-0.619	
Locus530	11.1314	0.0035	0.0012	0.0018	0.0058	0.004	0.0252	-0.4818	
Locus531	11.1314	-0.052	-0.0186	-0.0298	-0.091	-0.0594	-0.0052	-0.6115	
Locus532	11.1314	-0.0344	-0.015	-0.0273	-0.0677	-0.0393	0.0021	-0.7101	
Locus533	11.1314	-0.0317	-0.0138	-0.0251	-0.0622	-0.0362	0.0097	-0.7964	
Locus534	11.1314	-0.0271	-0.0117	-0.021	-0.0526	-0.0309	0.0103	-0.745	
Locus535	11.1314	-0.0274	-0.0123	-0.0229	-0.0548	-0.0313	0.0054	-0.6743	
Locus536	11.1314	-0.0314	-0.0123	-0.0206	-0.0573	-0.0359	0.0075	-0.6675	
Locus537	11.1314	-0.0377	-0.0159	-0.0283	-0.0726	-0.0431	0.002	-0.7391	
Locus538	11.1314	-0.0173	-0.0071	-0.0122	-0.0322	-0.0198	0.0138	-0.5594	
Locus539	11.1314	-0.0369	-0.0154	-0.0271	-0.0705	-0.0422	0.0037	-0.7287	
Locus540	11.1314	-0.0314	-0.0137	-0.0249	-0.0617	-0.0359	0.007	-0.7279	
Locus541	11.1314	-0.0518	-0.0178	-0.0279	-0.0887	-0.0592	-0.0045	-0.5719	
Locus542	11.1314	-0.0353	-0.0123	-0.0192	-0.0604	-0.0404	0.0061	-0.569	
Locus543	11.1314	-0.0297	-0.0124	-0.0217	-0.0564	-0.034	0.0073	-0.6784	
Locus544	11.1314	-0.0275	-0.012	-0.0218	-0.0539	-0.0314	0.0138	-0.7778	
Locus545	11.1314	-0.0369	-0.0158	-0.0284	-0.0718	-0.0422	0.0055	-0.8011	
