Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus1096	 0.0329	-0.0797	0.1622
Locus1097	 0.1655	 0.0406	0.3270
Locus1098	 0.1194	-0.0451	0.3073
Locus1099	 0.2698	 0.1269	0.4211
Locus1100	 0.0145	-0.0750	0.1358
Locus1101	-0.0071	-0.0775	0.1542
Locus1102	-0.0168	-0.1267	0.1012
Locus1103	 0.0504	-0.0463	0.1887
Locus1104	 0.2939	 0.1262	0.4697
Locus1105	 0.0205	-0.0516	0.1848
Locus1106	 0.0395	-0.0334	0.1866
Locus1107	 0.0103	-0.0833	0.2068
Locus1108	 0.0194	-0.0601	0.1269
Locus1109	 0.0514	-0.0432	0.1936
Locus1110	 0.0620	-0.0186	0.1567
Locus1111	 0.0970	 0.0051	0.2002
Locus1112	 0.0219	-0.0549	0.1158
Locus1113	 0.0913	-0.0370	0.2883
Locus1114	 0.0509	-0.0393	0.2131
Locus1115	 0.0745	-0.0811	0.2844
Locus1116	 0.3753	 0.2345	0.5284
Locus1117	 0.2200	 0.0210	0.4525
Locus1118	 0.0887	-0.0812	0.2785
Locus1119	 0.3923	 0.2232	0.5364
Locus1120	 0.0704	-0.0596	0.2467
Locus1121	 0.1561	 0.0275	0.2647
Locus1122	 0.0351	-0.0537	0.1824
Locus1123	 0.0259	-0.0821	0.1589
Locus1124	 0.1572	-0.0309	0.4327
Locus1125	 0.1220	-0.0076	0.3398
Locus1126	 0.3827	 0.1855	0.5855
Locus1127	 0.0206	-0.0679	0.1659
Locus1128	 0.1489	-0.0038	0.3389
Locus1129	 0.0031	-0.0750	0.1215
Locus1130	 0.0482	-0.0241	0.1647
Locus1131	 0.2615	 0.0977	0.4770
Locus1132	 0.0140	-0.1061	0.1974
Locus1133	 0.1175	-0.0274	0.3358
Locus1134	 0.0226	-0.0814	0.1533
Locus1135	 0.1053	-0.0673	0.2732
Locus1136	 0.0727	-0.0322	0.2962
Locus1137	 0.0917	-0.0158	0.2234
Locus1138	 0.0222	-0.0521	0.1675
Locus1139	 0.0505	-0.0927	0.2361
Locus1140	 0.0175	-0.0596	0.1401
Locus1141	 0.0889	-0.0176	0.2317
Locus1142	 0.1060	-0.0471	0.2849
Locus1143	 0.0797	-0.0263	0.2364
Locus1144	 0.0790	-0.0629	0.2329
Locus1145	 0.1606	 0.0028	0.3245
Locus1146	 0.0315	-0.0501	0.1806
Locus1147	 0.1533	 0.0449	0.3008
Locus1148	-0.0051	-0.1575	0.1684
Locus1149	 0.0495	-0.0518	0.1687
Locus1150	 0.0708	 0.0045	0.1882
Locus1151	 0.0333	-0.0464	0.1437
Locus1152	 0.0692	-0.0642	0.2080
Locus1153	 0.1081	-0.0155	0.3021
Locus1154	 0.0456	-0.1084	0.1949
Locus1155	 0.1436	 0.0163	0.3008
Locus1156	 0.0556	-0.1031	0.2359
Locus1157	 0.1285	 0.0147	0.3004
Locus1158	-0.0161	-0.1639	0.1858
Locus1159	 0.0746	-0.0347	0.2146
Locus1160	-0.0654	-0.1374	0.0472
Locus1161	-0.0040	-0.1095	0.1827
Locus1162	-0.0019	-0.1102	0.1390
Locus1163	 0.1222	-0.0221	0.3201
Locus1164	 0.0245	-0.1031	0.1787
Locus1165	-0.0318	-0.1154	0.0904
Locus1166	-0.0205	-0.1155	0.1001
Locus1167	 0.1775	 0.0468	0.3312
Locus1168	 0.2301	 0.0201	0.4659
Locus1169	 0.0284	-0.0654	0.1597
Locus1170	 0.0260	-0.1048	0.1685
Locus1171	 0.0969	-0.0447	0.2461
Locus1172	 0.0679	-0.0763	0.2886
Locus1173	 0.0382	-0.0844	0.2288
Locus1174	 0.4913	 0.2872	0.6509
Locus1175	 0.2283	 0.0735	0.4615
Locus1176	 0.0810	-0.0686	0.2637
Locus1177	 0.0306	-0.0751	0.1574
Locus1178	 0.1776	 0.0534	0.3298
Locus1179	 0.0474	-0.0563	0.1934
Locus1180	 0.2357	 0.0639	0.3841
Locus1181	 0.0172	-0.1187	0.1697
Locus1182	 0.0089	-0.0889	0.1429
Locus1183	 0.1249	 0.0161	0.2197
Locus1184	-0.0385	-0.1081	0.0598
Locus1185	 0.3090	 0.1619	0.5066
Locus1186	-0.0164	-0.1350	0.1003
Locus1187	 0.0617	-0.0657	0.2130
Locus1188	 0.0120	-0.1270	0.1546
Locus1189	 0.1193	-0.0016	0.2396
Locus1190	 0.0750	-0.0572	0.2545
Locus1191	 0.0304	-0.0673	0.1659
Locus1192	 0.0964	-0.0540	0.2402
Locus1193	 0.1009	-0.0209	0.2749
Locus1194	 0.2923	 0.1361	0.4841
Locus1195	 0.1253	-0.0383	0.2914
Locus1196	 0.1698	 0.0001	0.3543
Locus1197	 0.0660	-0.0549	0.2003
Locus1198	 0.0981	-0.0106	0.2335
Locus1199	 0.2546	 0.0578	0.4365
Locus1200	 0.0341	-0.0775	0.2186

GGst

locus	actual	lower	upper
Locus1	-0.0401	-0.1083	0.0692
Locus2	 0.0161	-0.0652	0.1595
Locus3	 0.1289	-0.0222	0.3816
Locus4	 0.0047	-0.0913	0.1215
Locus5	 0.0453	-0.0557	0.1776
Locus6	 0.1587	 0.0588	0.2766
Locus7	-0.0463	-0.1079	0.0384
Locus8	 0.0724	-0.0212	0.2062
Locus9	-0.0217	-0.0885	0.0660
Locus10	 0.2493	 0.1311	0.3655
Locus11	 0.0100	-0.0658	0.1160
Locus12	-0.0267	-0.1079	0.0661
Locus13	 0.0084	-0.0954	0.1757
Locus14	 0.1075	-0.0188	0.2978
Locus15	-0.0069	-0.0853	0.0773
Locus16	-0.0418	-0.0875	0.0381
Locus17	 0.0195	-0.0565	0.1140
Locus18	 0.0972	-0.0603	0.3042
Locus19	 0.1054	 0.0087	0.2389
Locus20	 0.0617	-0.0207	0.1707
Locus21	 0.0476	-0.0334	0.1346
Locus22	 0.1333	 0.0264	0.2568
Locus23	 0.0978	-0.0534	0.3391
Locus24	 0.0583	-0.0359	0.1936
Locus25	 0.1164	 0.0201	0.2557
Locus26	 0.0469	-0.0519	0.2032
Locus27	 0.0821	-0.0364	0.2436
Locus28	 0.0553	-0.0441	0.2208
Locus29	 0.1006	-0.0276	0.2601
Locus30	-0.0220	-0.0851	0.0828
Locus31	 0.0589	-0.0277	0.1789
Locus32	-0.0276	-0.1433	0.1343
Locus33	-0.0152	-0.0853	0.1037
Locus34	 0.1949	 0.0570	0.3438
Locus35	 0.0926	-0.0136	0.2088
Locus36	 0.1262	 0.0424	0.2181
Locus37	 0.1524	-0.0334	0.3140
Locus38	 0.0991	-0.0271	0.2868
Locus39	 0.0152	-0.0770	0.1546
Locus40	-0.0043	-0.0688	0.1186
Locus41	 0.0637	-0.0190	0.2226
Locus42	 0.0306	-0.0808	0.1650
Locus43	 0.3866	 0.2413	0.5290
Locus44	 0.2038	 0.0538	0.4115
Locus45	 0.0078	-0.0635	0.1192
Locus46	-0.0581	-0.1172	0.0329
Locus47	 0.1367	-0.0241	0.3801
Locus48	 0.0012	-0.0614	0.0896
Locus49	-0.0375	-0.0987	0.0707
Locus50	 0.0624	-0.0375	0.3395
Locus51	 0.3424	 0.2073	0.5092
Locus52	 0.0076	-0.0910	0.1550
Locus53	 0.1045	-0.0339	0.2775
Locus54	 0.0171	-0.0931	0.1637
Locus55	 0.0540	-0.0324	0.1934
Locus56	-0.0342	-0.0875	0.0506
Locus57	 0.1393	 0.0058	0.2770
Locus58	 0.0795	-0.0087	0.2110
Locus59	 0.0066	-0.0491	0.1149
Locus60	 0.2136	 0.0705	0.3714
Locus61	-0.0085	-0.0670	0.0964
Locus62	 0.0039	-0.0637	0.1305
Locus63	 0.0830	-0.0480	0.2390
Locus64	 0.1753	-0.0131	0.4226
Locus65	-0.0045	-0.1190	0.1349
Locus66	 0.0830	 0.0042	0.1802
Locus67	-0.0158	-0.0764	0.0987
Locus68	 0.0201	-0.0546	0.1356
Locus69	 0.2483	 0.1331	0.3842
Locus70	 0.0300	-0.0374	0.1254
Locus71	 0.0245	-0.0590	0.2284
Locus72	 0.0347	-0.0924	0.1845
Locus73	-0.0207	-0.0991	0.0828
Locus74	-0.0427	-0.0973	0.0318
Locus75	 0.0617	-0.0281	0.1782
Locus76	 0.2653	 0.0670	0.4876
Locus77	 0.0532	-0.0517	0.2103
Locus78	 0.1463	 0.0590	0.2813
Locus79	-0.0015	-0.0778	0.0955
Locus80	 0.0076	-0.0750	0.1516
Locus81	 0.1976	 0.0180	0.4040
Locus82	 0.0334	-0.0441	0.1748
Locus83	 0.3719	 0.2339	0.5326
Locus84	 0.0482	-0.0601	0.2060
Locus85	 0.1186	 0.0059	0.2809
Locus86	 0.0469	-0.0216	0.1497
Locus87	-0.0078	-0.1141	0.1650
Locus88	 0.2086	 0.0643	0.3675
Locus89	 0.0851	-0.0198	0.2553
Locus90	 0.0467	-0.0516	0.2041
Locus91	 0.0720	-0.0256	0.1813
Locus92	 0.0175	-0.0493	0.1255
Locus93	 0.0225	-0.1073	0.1680
Locus94	 0.0335	-0.0556	0.1831
Locus95	 0.0580	-0.0326	0.1791
Locus96	 0.1518	 0.0383	0.2774
Locus97	 0.1570	 0.0025	0.3198
Locus98	-0.0199	-0.0854	0.0882
Locus99	 0.1896	 0.0244	0.3675
Locus100	 0.0143	-0.1264	0.1785
Locus101	 0.0150	-0.0751	0.1103
Locus102	 0.1831	 0.0382	0.3272
Locus103	 0.0359	-0.0423	0.1528
Locus104	 0.0245	-0.0515	0.1087
Locus105	-0.0218	-0.0921	0.0683
Locus106	 0.0118	-0.0675	0.1876
Locus107	 0.3387	 0.1373	0.5493
Locus108	 0.0576	-0.0299	0.1609
Locus109	 0.0064	-0.0757	0.0948
Locus110	 0.0256	-0.0491	0.1532
Locus111	 0.0623	-0.0487	0.2950
Locus112	 0.0204	-0.0674	0.2008
Locus113	 0.0241	-0.0515	0.1215
Locus114	 0.0244	-0.0946	0.1737
Locus115	 0.2670	 0.0506	0.5588
Locus116	 0.1263	-0.0011	0.2947
Locus117	 0.1369	 0.0566	0.2399
Locus118	 0.2815	 0.0825	0.4403
Locus119	 0.0030	-0.0539	0.1218
Locus120	 0.1941	-0.0087	0.4882
Locus121	 0.0193	-0.0667	0.1480
Locus122	 0.3267	 0.1968	0.4560
Locus123	 0.3052	 0.1143	0.5133
Locus124	-0.0119	-0.0768	0.1439
Locus125	 0.0474	-0.0498	0.2048
Locus126	 0.0311	-0.0837	0.1838
Locus127	 0.0987	-0.0065	0.2199
Locus128	 0.1149	-0.0262	0.2547
Locus129	 0.0108	-0.0821	0.1340
Locus130	 0.0750	-0.0645	0.2574
Locus131	 0.1288	-0.0465	0.3976
Locus132	 0.0511	-0.0512	0.2708
Locus133	 0.0531	-0.0301	0.1593
Locus134	 0.0335	-0.0688	0.2120
Locus135	 0.0596	-0.0831	0.2594
Locus136	 0.0575	-0.0767	0.2027
Locus137	-0.0280	-0.1100	0.0710
Locus138	 0.0444	-0.0967	0.1816
Locus139	 0.0913	-0.0424	0.2884
Locus140	 0.0177	-0.0869	0.1851
Locus141	 0.0481	-0.0458	0.2141
Locus142	 0.0082	-0.0953	0.1547
Locus143	 0.1238	-0.0012	0.2606
Locus144	-0.0150	-0.1193	0.1236
Locus145	 0.0063	-0.0954	0.1074
Locus146	 0.1219	-0.0266	0.3186
Locus147	 0.1002	-0.0040	0.2810
Locus148	 0.4131	 0.1917	0.5818
Locus149	 0.1290	-0.0025	0.2931
Locus150	-0.0358	-0.1022	0.0698
Locus151	 0.1143	-0.0195	0.3373
Locus152	-0.0260	-0.1201	0.1184
Locus153	 0.2517	-0.0008	0.5441
Locus154	-0.0102	-0.1356	0.1504
Locus155	-0.0327	-0.1341	0.1140
Locus156	 0.0386	-0.0221	0.1323
Locus157	 0.0615	-0.0460	0.2422
Locus158	 0.0239	-0.0751	0.1875
Locus159	 0.0314	-0.0341	0.1635
Locus160	 0.0677	-0.0175	0.1562
Locus161	 0.1383	 0.0018	0.4423
Locus162	 0.0146	-0.0686	0.1098
Locus163	 0.0273	-0.1332	0.1865
Locus164	 0.0094	-0.0504	0.1206
Locus165	-0.0185	-0.0995	0.0761
Locus166	 0.1850	-0.0028	0.3817
Locus167	 0.0627	-0.0246	0.1647
Locus168	 0.0120	-0.0430	0.1168
Locus169	 0.0979	-0.0252	0.2962
Locus170	-0.0292	-0.1089	0.1130
Locus171	 0.0238	-0.0949	0.1743
Locus172	 0.0998	-0.0064	0.2727
Locus173	 0.0078	-0.1124	0.1876
Locus174	 0.1029	-0.0089	0.2291
Locus175	 0.0779	-0.0434	0.1934
Locus176	 0.0291	-0.0398	0.1192
Locus177	 0.4331	 0.2649	0.6129
Locus178	 0.0228	-0.0925	0.1667
Locus179	 0.0380	-0.0705	0.1577
Locus180	 0.0260	-0.0465	0.1362
Locus181	-0.0072	-0.0790	0.1184
Locus182	 0.1279	 0.0076	0.2948
Locus183	 0.1344	-0.0112	0.3347
Locus184	 0.1941	 0.0865	0.3056
Locus185	 0.1397	-0.0153	0.2984
Locus186	 0.1780	 0.0333	0.3625
Locus187	 0.0665	-0.0186	0.2165
Locus188	 0.0404	-0.1061	0.2341
Locus189	 0.0314	-0.0584	0.1473
Locus190	 0.0062	-0.0747	0.1461
Locus191	 0.0039	-0.0946	0.1714
Locus192	 0.1881	-0.0113	0.4544
Locus193	-0.0093	-0.0835	0.1085
Locus194	 0.1127	-0.0176	0.2595
Locus195	 0.1621	-0.0025	0.4453
Locus196	 0.0898	-0.0073	0.2404
Locus197	 0.0088	-0.0896	0.1849
Locus198	 0.0278	-0.0745	0.2196
Locus199	-0.0293	-0.0823	0.0509
Locus200	 0.3622	 0.2229	0.5171
Locus201	 0.0324	-0.0817	0.2018
Locus202	 0.1531	 0.0018	0.3454
Locus203	 0.0748	-0.0511	0.2943
Locus204	 0.1739	-0.0060	0.3855
Locus205	 0.0371	-0.0532	0.1977
Locus206	 0.0191	-0.0664	0.1575
Locus207	-0.0542	-0.1271	0.0293
Locus208	 0.1319	 0.0184	0.2924
Locus209	-0.0204	-0.0890	0.0923
Locus210	 0.1710	-0.0471	0.4177
Locus211	 0.0572	-0.0534	0.3180
Locus212	-0.0150	-0.1043	0.1029
Locus213	 0.0664	-0.0404	0.1802
Locus214	 0.4485	 0.2918	0.6023
Locus215	 0.1008	-0.0419	0.2423
Locus216	 0.2901	 0.0594	0.4672
Locus217	 0.1211	-0.0107	0.2764
Locus218	 0.2055	 0.0855	0.3316
Locus219	 0.0028	-0.1323	0.1629
Locus220	-0.0065	-0.0954	0.1095
Locus221	 0.3480	 0.1863	0.4879
Locus222	 0.0569	-0.0206	0.1482
Locus223	 0.0284	-0.0625	0.1467
Locus224	 0.2768	 0.1311	0.4555
Locus225	-0.0225	-0.0813	0.0876
Locus226	 0.0230	-0.0607	0.1638
Locus227	-0.0104	-0.0846	0.1067
Locus228	-0.0013	-0.0883	0.1839
Locus229	 0.0279	-0.0374	0.1508
Locus230	 0.0821	-0.0222	0.2406
Locus231	 0.0500	-0.0398	0.1890
Locus232	 0.0812	-0.0193	0.2412
Locus233	 0.0318	-0.0654	0.2004
Locus234	 0.2053	-0.0138	0.4438
Locus235	 0.0514	-0.0834	0.3094
Locus236	 0.0120	-0.0804	0.1153
Locus237	 0.1261	 0.0285	0.2453
Locus238	-0.0244	-0.0736	0.0541
Locus239	 0.2701	 0.1008	0.4713
Locus240	 0.0642	-0.0596	0.2241
Locus241	 0.0637	-0.0395	0.2302
Locus242	-0.0098	-0.0799	0.1035
Locus243	 0.1363	 0.0015	0.3084
Locus244	 0.3396	 0.1758	0.5009
Locus245	-0.0256	-0.1715	0.1652
Locus246	-0.0087	-0.0649	0.0705
Locus247	 0.0627	-0.0351	0.1837
Locus248	 0.2438	 0.0393	0.4704
Locus249	 0.0245	-0.0601	0.1369
Locus250	 0.0040	-0.0670	0.1539
Locus251	 0.0769	-0.0480	0.2579
Locus252	 0.0408	-0.0799	0.2307
Locus253	 0.3419	 0.1902	0.4891
Locus254	 0.0508	-0.0935	0.2468
Locus255	 0.0152	-0.0685	0.1349
Locus256	 0.0310	-0.0780	0.1808
Locus257	 0.0399	-0.0560	0.1871
Locus258	 0.0326	-0.1099	0.2912
Locus259	 0.0298	-0.0630	0.2240
Locus260	 0.0853	-0.0337	0.2307
Locus261	 0.2026	 0.0116	0.4049
Locus262	 0.1570	 0.0079	0.3194
Locus263	 0.1510	 0.0331	0.2749
Locus264	 0.0817	-0.0288	0.2336
Locus265	 0.0326	-0.0557	0.1755
Locus266	 0.3702	 0.1576	0.5816
Locus267	 0.3040	 0.1383	0.4522
Locus268	 0.2377	 0.1044	0.3585
Locus269	 0.0527	-0.0831	0.2009
Locus270	 0.0388	-0.0329	0.1742
Locus271	 0.0051	-0.0584	0.0934
Locus272	 0.0768	-0.0526	0.2545
Locus273	 0.1010	-0.0359	0.2837
Locus274	 0.0911	-0.0517	0.3268
Locus275	 0.0893	-0.0470	0.2922
Locus276	 0.1693	 0.0322	0.3445
Locus277	 0.0493	-0.0326	0.1722
Locus278	 0.1320	 0.0208	0.2989
Locus279	 0.0838	-0.0217	0.1914
Locus280	 0.2535	 0.0429	0.4782
Locus281	 0.0427	-0.0690	0.1880
Locus282	 0.0706	-0.0468	0.2512
Locus283	-0.0165	-0.1492	0.1377
Locus284	 0.0682	-0.0568	0.2262
Locus285	 0.2779	 0.1326	0.4719
Locus286	-0.0022	-0.0658	0.1224
Locus287	 0.1909	 0.0421	0.3528
Locus288	 0.1755	 0.0090	0.3371
Locus289	-0.0185	-0.0909	0.1007
Locus290	 0.0341	-0.0260	0.1739
Locus291	 0.0413	-0.0328	0.1699
Locus292	 0.0291	-0.0633	0.1661
Locus293	 0.2699	 0.1258	0.3999
Locus294	 0.2191	 0.0520	0.3872
Locus295	-0.0294	-0.1707	0.1479
Locus296	-0.0119	-0.0621	0.0598
Locus297	 0.0440	-0.0581	0.2089
Locus298	 0.1978	 0.0860	0.3512
Locus299	 0.0733	-0.0054	0.1985
Locus300	 0.0323	-0.0636	0.1854
Locus301	-0.0076	-0.1035	0.1942
Locus302	 0.3473	 0.1683	0.5136
Locus303	-0.0299	-0.1412	0.1216
Locus304	 0.2315	 0.0964	0.3826
Locus305	 0.1124	-0.0704	0.2944
Locus306	-0.0148	-0.0857	0.1010
Locus307	 0.0397	-0.0860	0.1939
Locus308	 0.0346	-0.0505	0.1365
Locus309	 0.0388	-0.0722	0.1444
Locus310	-0.0145	-0.1078	0.1243
Locus311	-0.0070	-0.0723	0.0968
Locus312	 0.0069	-0.0801	0.2249
Locus313	 0.1441	 0.0380	0.3004
Locus314	 0.1045	-0.0464	0.3067
Locus315	 0.0825	-0.0387	0.3036
Locus316	 0.0207	-0.1340	0.2504
Locus317	 0.1218	-0.0329	0.2903
Locus318	 0.0399	-0.0257	0.1492
Locus319	 0.0595	-0.0498	0.1874
Locus320	 0.0866	-0.0367	0.2868
Locus321	 0.1059	 0.0020	0.2516
Locus322	-0.0255	-0.0923	0.0867
Locus323	 0.0515	-0.0415	0.1792
Locus324	 0.2562	 0.0757	0.4230
Locus325	 0.1608	 0.0283	0.3506
Locus326	 0.0487	-0.0548	0.1987
Locus327	 0.2036	 0.0520	0.3629
Locus328	 0.0607	-0.0375	0.2031
Locus329	-0.0212	-0.1099	0.0938
Locus330	 0.0354	-0.0455	0.1588
Locus331	 0.1410	 0.0138	0.2987
Locus332	 0.0229	-0.0736	0.2011
Locus333	-0.0167	-0.0961	0.1088
Locus334	 0.0827	-0.0538	0.2471
Locus335	 0.1052	-0.0322	0.3141
Locus336	 0.1202	-0.0717	0.3085
Locus337	 0.2085	 0.0199	0.4309
Locus338	 0.0527	-0.0544	0.2513
Locus339	 0.0226	-0.0445	0.1284
Locus340	 0.0686	-0.1049	0.3146
Locus341	 0.0031	-0.0787	0.1192
Locus342	 0.0949	-0.0020	0.2274
Locus343	 0.1635	 0.0128	0.3350
Locus344	-0.0292	-0.1079	0.0540
Locus345	 0.0627	-0.0288	0.1891
Locus346	 0.0718	-0.0285	0.2027
Locus347	 0.0085	-0.0787	0.1593
Locus348	 0.1500	 0.0130	0.3100
Locus349	 0.0172	-0.0438	0.1631
Locus350	 0.0774	-0.0206	0.2514
Locus351	 0.0738	-0.0425	0.1950
Locus352	 0.0339	-0.0508	0.1390
Locus353	 0.0727	-0.0136	0.2023
Locus354	 0.0988	-0.0460	0.3031
Locus355	-0.0025	-0.1014	0.1385
Locus356	-0.0374	-0.1228	0.0953
Locus357	 0.0370	-0.0461	0.1483
Locus358	 0.0330	-0.0699	0.1823
Locus359	 0.3535	 0.1412	0.5476
Locus360	 0.0293	-0.0742	0.2053
Locus361	-0.0122	-0.0732	0.0756
Locus362	 0.1312	-0.0356	0.3062
Locus363	 0.0874	-0.0569	0.3177
Locus364	 0.0915	-0.0426	0.2440
Locus365	 0.0187	-0.0732	0.1974
Locus366	 0.0717	-0.0525	0.2065
Locus367	 0.1407	 0.0167	0.3033
Locus368	-0.0139	-0.0817	0.1012
Locus369	 0.0592	-0.0471	0.2384
Locus370	 0.0282	-0.0619	0.1591
Locus371	 0.0110	-0.0879	0.1333
Locus372	 0.1210	-0.0079	0.3063
Locus373	-0.0093	-0.0707	0.1091
Locus374	 0.0145	-0.0841	0.1493
Locus375	 0.0921	-0.0585	0.2415
Locus376	 0.0795	-0.0240	0.2312
Locus377	 0.0368	-0.0695	0.1882
Locus378	-0.0568	-0.1436	0.0310
Locus379	 0.0177	-0.0496	0.1498
Locus380	 0.0446	-0.1078	0.2627
Locus381	 0.1805	 0.0693	0.3015
Locus382	 0.0216	-0.1204	0.2111
Locus383	 0.1489	-0.0194	0.3177
Locus384	-0.0342	-0.0978	0.0785
Locus385	 0.0952	-0.0526	0.2909
Locus386	 0.0443	-0.0517	0.1553
Locus387	 0.0290	-0.0583	0.1846
Locus388	 0.0231	-0.0584	0.1684
Locus389	 0.1734	 0.0229	0.3621
Locus390	 0.0791	-0.0216	0.2179
Locus391	 0.0222	-0.0498	0.1290
Locus392	 0.0364	-0.1015	0.2063
Locus393	 0.0125	-0.0584	0.1397
Locus394	 0.0511	-0.0346	0.1685
Locus395	-0.0055	-0.0919	0.1741
Locus396	 0.0888	-0.0375	0.2244
Locus397	-0.0137	-0.1047	0.1516
Locus398	 0.0745	-0.0649	0.2757
Locus399	 0.0591	-0.0743	0.2303
Locus400	 0.1236	 0.0020	0.2682
Locus401	 0.0273	-0.0593	0.1735
Locus402	 0.2203	 0.1079	0.3422
Locus403	-0.0106	-0.0693	0.0772
Locus404	 0.0050	-0.1113	0.1536
Locus405	 0.0920	-0.1103	0.3381
Locus406	 0.5288	 0.3523	0.6963
Locus407	 0.0457	-0.0726	0.1890
Locus408	-0.0045	-0.0918	0.0941
Locus409	 0.1632	-0.0333	0.3947
Locus410	 0.1703	-0.0103	0.3804
Locus411	 0.0077	-0.0840	0.1510
Locus412	 0.0694	-0.0367	0.2012
Locus413	 0.0036	-0.0614	0.0835
Locus414	 0.1919	 0.0499	0.3681
Locus415	 0.0583	-0.0123	0.1735
Locus416	 0.0786	-0.0734	0.2367
Locus417	 0.0173	-0.0733	0.1649
Locus418	 0.0982	-0.0127	0.2577
Locus419	 0.0991	-0.0081	0.2974
Locus420	 0.0223	-0.1152	0.2169
Locus421	 0.0413	-0.0460	0.1899
Locus422	 0.1906	 0.0382	0.3606
Locus423	 0.0645	-0.0567	0.2640
Locus424	 0.3533	 0.1675	0.5718
Locus425	 0.1363	-0.0242	0.2995
Locus426	-0.0081	-0.0642	0.0839
Locus427	 0.0839	-0.0387	0.2768
Locus428	 0.1775	 0.0604	0.3504
Locus429	 0.2084	 0.0390	0.3488
Locus430	 0.0817	-0.0907	0.2678
Locus431	 0.0127	-0.0722	0.1002
Locus432	 0.0868	-0.0274	0.2395
Locus433	 0.0252	-0.0569	0.1721
Locus434	 0.0455	-0.0781	0.2044
Locus435	 0.0923	-0.0236	0.2218
Locus436	-0.0364	-0.1110	0.1187
Locus437	 0.0010	-0.1319	0.1523
Locus438	 0.0701	-0.0525	0.2535
Locus439	 0.0299	-0.0471	0.1788
Locus440	-0.0157	-0.0956	0.0947
Locus441	-0.0090	-0.0772	0.1044
Locus442	 0.0301	-0.0520	0.3035
Locus443	 0.1278	-0.0178	0.2983
Locus444	 0.2048	 0.0633	0.3608
Locus445	 0.0493	-0.0736	0.2032
Locus446	 0.1314	-0.0258	0.2964
Locus447	-0.0025	-0.0647	0.1293
Locus448	-0.0189	-0.0868	0.0943
Locus449	 0.0565	-0.0756	0.1955
Locus450	-0.0269	-0.0859	0.0829
Locus451	 0.0143	-0.0776	0.2194
Locus452	-0.0324	-0.1238	0.0858
Locus453	 0.1683	 0.0581	0.2747
Locus454	 0.0763	-0.0587	0.2315
Locus455	 0.0061	-0.0928	0.2080
Locus456	 0.1549	 0.0645	0.2617
Locus457	 0.4018	 0.2429	0.5516
Locus458	 0.2237	 0.0397	0.4034
Locus459	 0.0385	-0.0606	0.1500
Locus460	 0.1023	-0.0513	0.2698
Locus461	-0.0180	-0.1571	0.1462
Locus462	 0.1519	 0.0173	0.3279
Locus463	 0.0050	-0.0638	0.1390
Locus464	-0.0052	-0.0799	0.1317
Locus465	 0.0330	-0.0440	0.1814
Locus466	 0.0013	-0.0606	0.1323
Locus467	 0.0631	-0.0359	0.1889
Locus468	 0.1140	-0.0828	0.2619
Locus469	 0.0961	-0.0166	0.2455
Locus470	-0.0520	-0.1068	0.0071
Locus471	-0.0133	-0.0795	0.1198
Locus472	 0.2186	 0.0522	0.4672
Locus473	 0.0138	-0.0757	0.1780
Locus474	 0.1118	-0.0146	0.2432
Locus475	 0.0085	-0.0534	0.1054
Locus476	 0.1708	 0.0376	0.3220
Locus477	 0.0842	-0.0317	0.2365
Locus478	 0.3772	 0.1972	0.5574
Locus479	 0.0489	-0.0542	0.2079
Locus480	 0.0179	-0.0782	0.1794
Locus481	 0.0347	-0.1075	0.2205
Locus482	 0.1500	-0.0151	0.3710
Locus483	-0.0268	-0.0984	0.0900
Locus484	 0.1550	-0.0456	0.3265
Locus485	 0.1526	-0.0022	0.3201
Locus486	-0.0049	-0.0737	0.1111
Locus487	-0.0043	-0.1382	0.1890
Locus488	-0.0206	-0.1167	0.1280
Locus489	 0.1985	 0.0801	0.3229
Locus490	 0.0042	-0.1018	0.1692
Locus491	 0.0497	-0.0780	0.1727
Locus492	 0.0641	-0.0018	0.1510
Locus493	 0.0711	-0.0212	0.2409
Locus494	 0.0100	-0.1304	0.2352
Locus495	 0.0887	-0.0465	0.2617
Locus496	 0.0329	-0.0390	0.1418
Locus497	 0.0174	-0.0555	0.1197
Locus498	-0.0626	-0.1477	0.0587
Locus499	 0.0137	-0.0717	0.1446
Locus500	 0.0916	-0.0438	0.3022
Locus501	-0.0153	-0.0730	0.0516
Locus502	 0.2026	-0.0028	0.3721
Locus503	 0.0708	-0.0589	0.2550
Locus504	 0.0417	-0.0961	0.2693
Locus505	 0.1003	-0.0243	0.3194
Locus506	 0.2539	 0.0793	0.4240
Locus507	 0.1350	-0.0262	0.3789
Locus508	 0.0643	-0.0600	0.2126
Locus509	 0.1288	-0.0296	0.2983
Locus510	 0.0498	-0.0491	0.2085
Locus511	-0.0111	-0.0828	0.1099
Locus512	-0.0118	-0.1195	0.1097
Locus513	 0.3640	 0.1471	0.5808
Locus514	 0.1772	 0.0386	0.3283
Locus515	-0.0598	-0.1654	0.1156
Locus516	 0.1512	-0.0048	0.3750
Locus517	 0.0202	-0.0906	0.1443
Locus518	 0.1136	 0.0022	0.2785
Locus519	 0.2002	-0.0700	0.4473
